"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"883630f76cbf512003b81de25cd96cb75c6cf0f9.patch","883630f76cbf512003b81de25cd96cb75c6cf0f9.patch","","","aarch64-linux","/nix/store/q0mydkf1y32bbsmw10lybc0add0p2qgj-883630f76cbf512003b81de25cd96cb75c6cf0f9.patch","['/nix/store/q0mydkf1y32bbsmw10lybc0add0p2qgj-883630f76cbf512003b81de25cd96cb75c6cf0f9.patch']","/nix/store/6wqa5r619xgbwhxhdbyai4m7mlfk53mq-883630f76cbf512003b81de25cd96cb75c6cf0f9.patch.drv","cpe:2.3:a:883630f76cbf512003b81de25cd96cb75c6cf0f9.patch:883630f76cbf512003b81de25cd96cb75c6cf0f9.patch::*:*:*:*:*:*:*","pkg:nix/883630f76cbf512003b81de25cd96cb75c6cf0f9.patch","https://github.com/libevent/libevent/commit/883630f76cbf512003b81de25cd96cb75c6cf0f9.patch","","","","","","","",""
"8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch","8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch","","","aarch64-linux","/nix/store/yhnyh2lzwnp59srhyipnr2133l22kbcp-8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch","['/nix/store/yhnyh2lzwnp59srhyipnr2133l22kbcp-8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch']","/nix/store/92l4gbcsy8igkbz0xciwv9dm54b1xbr3-8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch.drv","cpe:2.3:a:8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch:8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch::*:*:*:*:*:*:*","pkg:nix/8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch","https://pagure.io/xmlto/c/8e34f087bf410bcc5fe445933d6ad9bae54f24b5.patch","","","","","","","",""
"914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch","914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch","","","aarch64-linux","/nix/store/pv08dmxcy4k097m9qnpsjzv4m843zwcz-914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch","['/nix/store/pv08dmxcy4k097m9qnpsjzv4m843zwcz-914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch']","/nix/store/xchhcvvzndncbnnhlwnqlp3n29gdl5pv-914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch.drv","cpe:2.3:a:914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch:914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch::*:*:*:*:*:*:*","pkg:nix/914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch","https://github.com/libfuse/libfuse/commit/914871b20a901e3e1e981c92bc42b1c93b7ab81b.patch","","","","","","","",""
"93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch","93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch","","","aarch64-linux","/nix/store/x2svfx3ggarjrkl9hfmsr8yvqmbzc8xk-93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch","['/nix/store/x2svfx3ggarjrkl9hfmsr8yvqmbzc8xk-93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch']","/nix/store/9z6450hmy8cz9j3asm0mpq97vhcxwv83-93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch.drv","cpe:2.3:a:93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch:93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch::*:*:*:*:*:*:*","pkg:nix/93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch","https://github.com/NLnetLabs/unbound/commit/93490a0fc1bf9e62e6edcd6b69f1463c7ac410e9.patch","","","","","","","",""
"?id=21ee35dde73aec5eba35290587d479218c6dd824","?id=21ee35dde73aec5eba35290587d479218c6dd824","","","aarch64-linux","/nix/store/5bwdc6hgighl5b5g4d9fybfv3kx8854l-?id=21ee35dde73aec5eba35290587d479218c6dd824","['/nix/store/5bwdc6hgighl5b5g4d9fybfv3kx8854l-?id=21ee35dde73aec5eba35290587d479218c6dd824']","/nix/store/wj7g7y7cj5dqprhqw8gf3xd54qf6kgk2-?id=21ee35dde73aec5eba35290587d479218c6dd824.drv","cpe:2.3:a:?id=21ee35dde73aec5eba35290587d479218c6dd824:?id=21ee35dde73aec5eba35290587d479218c6dd824::*:*:*:*:*:*:*","pkg:nix/%3Fid%3D21ee35dde73aec5eba35290587d479218c6dd824","https://git.netfilter.org/libnetfilter_conntrack/patch/?id=21ee35dde73aec5eba35290587d479218c6dd824","","","","","","","",""
"?id=904949c9026cb772dc93fbe0947a252ef47127f4","?id=904949c9026cb772dc93fbe0947a252ef47127f4","","","aarch64-linux","/nix/store/9alq92lf7ixh8s6fsm8x19djxwjdygr2-?id=904949c9026cb772dc93fbe0947a252ef47127f4","['/nix/store/9alq92lf7ixh8s6fsm8x19djxwjdygr2-?id=904949c9026cb772dc93fbe0947a252ef47127f4']","/nix/store/ssi2jmn62q5vwim28xsx5xwcza3s00bp-?id=904949c9026cb772dc93fbe0947a252ef47127f4.drv","cpe:2.3:a:?id=904949c9026cb772dc93fbe0947a252ef47127f4:?id=904949c9026cb772dc93fbe0947a252ef47127f4::*:*:*:*:*:*:*","pkg:nix/%3Fid%3D904949c9026cb772dc93fbe0947a252ef47127f4","https://git.savannah.gnu.org/cgit/src-highlite.git/patch/?id=904949c9026cb772dc93fbe0947a252ef47127f4","","","","","","","",""
"Authen-SASL-2.1700.tar.gz","Authen-SASL-2.1700.tar.gz","","","aarch64-linux","/nix/store/zva489sdizvh0b2pm7a8njhdaksjk0ik-Authen-SASL-2.1700.tar.gz","['/nix/store/zva489sdizvh0b2pm7a8njhdaksjk0ik-Authen-SASL-2.1700.tar.gz']","/nix/store/3kb94fb5py0knrnmiivm8jnrryqzrk87-Authen-SASL-2.1700.tar.gz.drv","cpe:2.3:a:Authen-SASL-2.1700.tar.gz:Authen-SASL-2.1700.tar.gz::*:*:*:*:*:*:*","pkg:nix/Authen-SASL-2.1700.tar.gz","mirror://cpan/authors/id/E/EH/EHUELS/Authen-SASL-2.1700.tar.gz","","","","","","","",""
"B-COW-0.007.tar.gz","B-COW-0.007.tar.gz","","","aarch64-linux","/nix/store/q4vw86b9qb8z3b3nyv3a8hhdjchfcqlz-B-COW-0.007.tar.gz","['/nix/store/q4vw86b9qb8z3b3nyv3a8hhdjchfcqlz-B-COW-0.007.tar.gz']","/nix/store/n236pz07k86wpb2zs9skvyd22729yq8z-B-COW-0.007.tar.gz.drv","cpe:2.3:a:B-COW-0.007.tar.gz:B-COW-0.007.tar.gz::*:*:*:*:*:*:*","pkg:nix/B-COW-0.007.tar.gz","mirror://cpan/authors/id/A/AT/ATOOMIC/B-COW-0.007.tar.gz","","","","","","","",""
"Babel-2.14.0.tar.gz","Babel-2.14.0.tar.gz","","","aarch64-linux","/nix/store/ai0cxbrhaiviiml8frfpz209zvhhxzpp-Babel-2.14.0.tar.gz","['/nix/store/ai0cxbrhaiviiml8frfpz209zvhhxzpp-Babel-2.14.0.tar.gz']","/nix/store/81l6r9kr59g13qkv5mrfca91chspsgmw-Babel-2.14.0.tar.gz.drv","cpe:2.3:a:Babel-2.14.0.tar.gz:Babel-2.14.0.tar.gz::*:*:*:*:*:*:*","pkg:nix/Babel-2.14.0.tar.gz","mirror://pypi/B/Babel/Babel-2.14.0.tar.gz","","","","","","","",""
"CGAL-5.6.1.tar.xz","CGAL-5.6.1.tar.xz","","","aarch64-linux","/nix/store/f6b4dp8lqknjn2apjvvmry38kcw7vivv-CGAL-5.6.1.tar.xz","['/nix/store/f6b4dp8lqknjn2apjvvmry38kcw7vivv-CGAL-5.6.1.tar.xz']","/nix/store/vb3ya99pqzn29bkzfbksmqga07v7s1wk-CGAL-5.6.1.tar.xz.drv","cpe:2.3:a:CGAL-5.6.1.tar.xz:CGAL-5.6.1.tar.xz::*:*:*:*:*:*:*","pkg:nix/CGAL-5.6.1.tar.xz","https://github.com/CGAL/cgal/releases/download/v5.6.1/CGAL-5.6.1.tar.xz","","","","","","","",""
